word,Composition_types,PoS,N_of_component,PoS_1component,PoS_2component,X1810s,X1820s,X1830s,X1840s,X1850s,X1860s,X1870s,X1880s,X1890s,X1900s,X1910s,X1920s,X1930s,X1940s,X1950s,X1960s,X1970s,X1980s,X1990s,X2000s,total
new-born,so,adj,2,adj,V-ed,3.39,3.32,4.5,4.36,4.67,3.93,3.82,3.74,5.19,2.85,2.78,1.64,1.06,0.9,1.1,0.29,0.38,0.4,0.11,0.14,48.56
wide-open,co,adj,2,adj,adj,6.77,5.2,2.47,6.54,4.49,5.34,4.74,5.51,3.3,1.09,1.19,0.78,0.65,0.08,0,0.04,0.08,0,0.07,0.03,48.38
snow-white,so,adj,2,noun,adj,1.69,1.15,3.85,9.1,5.1,2.99,2.86,2.36,3.74,2.22,1.67,1.68,1.79,1.03,1.26,1.29,0.76,0.67,1,0.71,46.92
worn-out,rh,adj,2,V-ed,prep,0.85,0.87,2.54,2.37,3.04,4.63,3.23,3.2,2.72,3.62,2.16,2.1,2.4,3.2,1.71,1.67,1.51,1.62,1.75,1.72,46.91
brand-new,so,adj,2,noun,adj,0,0,0,0,0,0.18,0.38,0.54,0.87,1.58,2.03,2.18,2.76,4.76,5.34,3.92,4.28,3.95,6.05,7.88,46.71
arm-chair,rh,adj,2,noun,noun,0.85,0.72,3.27,5.86,6.56,5.98,8.4,4.04,3.25,2.62,2.29,2.03,0.33,0.08,0.12,0.08,0.04,0,0,0,46.52
world-wide,so,adj,2,noun,adj,0.85,0,0,0.44,1.7,1.29,1.24,2.71,2.43,3.12,3.66,4.05,5.69,5.42,5.21,2.96,0.67,2.92,1.07,0.24,45.67
kind-hearted,rh,adj,2,adj,N-ed,2.54,2.89,3.92,2.87,5.59,4.57,5.23,5.02,4.42,2.58,2.03,1.13,0.85,0.45,0.33,0.25,0.42,0.12,0.11,0.17,45.47
blue-eyed,rh,adj,2,adj,N-ed,0,0.87,0.87,2.12,2.73,2.93,3.07,2.51,2.77,1.95,2.33,2.07,3.05,3.29,1.96,3.34,2.86,1.86,2.43,2.44,45.42
good-naturedly,rh,adj,2,adj,adv,0.85,0.29,0.94,1.56,3.22,2.23,4.42,4.33,3.45,4.34,4.45,3.98,2.76,1.31,1.51,1.21,1.26,1.34,0.86,1.08,45.39
one-sided,rh,adj,2,num,N-ed,0,0.14,0.51,2.31,2.91,3.05,2.8,3.05,2.52,2.94,2.91,3.12,2.64,3.04,3.06,2.59,2.69,1.82,1.72,1.52,45.33
school-house,rh,adj,2,noun,noun,0,1.3,3.78,3.36,4.86,5.22,6.36,7.38,3.45,2.94,4.32,1.29,0.41,0.08,0,0,0.13,0.04,0.07,0.03,45.01
red-hot,NA,adj,2,adj,adj,0,0.72,1.67,3.36,3.22,1.99,3.45,3.59,2.96,3.3,2.51,2.96,3.05,2.51,2.12,1.67,1.01,1.34,1.54,2,44.97
north-west,co,adj,2,noun,noun,0,13.14,3.99,6.17,4.37,2.46,2.75,3.94,1.84,1.31,0.4,1.72,0.41,0.57,0.2,0.54,0.34,0.32,0.11,0.07,44.64
short-lived,so,adj,2,adj,V-ed,0,0.58,2.9,1.68,2.43,1.35,2.37,2.41,2.38,2.08,1.37,1.44,1.83,1.77,2.61,2.96,3.07,2.96,3.87,3.96,44.01
white-haired,rh,adj,2,adj,N-ed,0,0.14,0.51,2.06,1.21,1.7,2.1,1.28,2.72,1.76,2.16,3.51,4.43,3.78,3.18,2.67,3.23,2.96,1.86,2.44,43.7
near-by,rh,adj,2,adv,prep,0,0,0,0,0.06,0.23,0.16,0.34,1.7,3.76,6.52,5.77,7.6,11.17,4.07,1.17,0.42,0,0.18,0,43.16
court-martial,so,adj,2,noun,adj,1.69,0.87,2.54,1.12,0.73,2.4,1.24,3.54,2.48,2.35,2.2,2.22,1.46,6.78,3.38,3.75,1.47,1.11,0.75,0.81,42.9
common-place,rh,adj,2,adj,noun,0.85,3.03,27.73,3.24,2.12,1.76,1.51,0.98,0.19,0.18,0.09,0.16,0.08,0.04,0.08,0.13,0.13,0,0,0.03,42.34
wide-eyed,rh,adj,2,adj,N-ed,0,0,0,0,0,0.23,0.59,0.94,0.78,1.9,3.13,4.4,3.01,2.87,3.99,4.3,3.02,4.27,3.94,4.4,41.77
gray-haired,rh,adj,2,adj,N-ed,0,0.14,0.44,1.06,2.61,2.81,2.91,1.92,2.48,2.31,2.25,2.03,2.15,2.75,2.4,2.59,3.44,2.61,2.04,2.44,41.37
hard-working,so,adj,2,adv,V-ing,0,0.58,1.16,0.69,1.76,1.76,2.64,2.85,2.28,2.49,2.73,2.53,2.76,3.57,3.14,3.21,2.39,1.62,1.75,1.35,41.28
common-sense,rh,adj,2,adj,noun,0,0.29,1.09,1.56,2.25,3.05,6.84,3.45,4.42,3.62,3.7,2.26,1.95,1.52,1.67,0.63,0.88,0.36,0.64,0.74,40.91
post-war,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0,0,0.05,0.22,3.9,4.43,21.44,5.34,1.42,1.68,0.87,0.89,0.47,40.71
all-out,rh,adj,2,det,prep,0,0,0,0,0,0,0,0,0,0,0,0.04,0,6.82,12.39,6.88,5,3.91,2.9,2.27,40.2
over-all,rh,adj,2,adv,det,0,0,0,0.06,0.06,0.06,0,0,0,0.05,0.13,0.27,0.53,9.16,14.75,8.47,5.25,0.51,0.57,0.07,39.94
real-estate,rh,adj,2,adj,noun,0,0,0.07,0.19,0.24,0.06,0.92,0.49,0.58,1.54,3.61,2.22,4.11,3.45,4.36,4.55,3.95,4.11,2.79,2.44,39.67
second-hand,rh,adj,2,num,noun,1.69,0.43,1.09,1.37,2.37,1.58,2.69,2.36,3.4,3.03,3.7,2.42,2.76,1.89,2.49,1.33,1.47,1.34,0.79,0.61,38.82
right-wing,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0.05,0,0,0.04,0.37,1.81,3.18,5.71,7.77,11.46,5.19,3.25,38.81
all-important,so,adj,2,det,adj,0,1.44,3.05,2.24,1.64,1.82,2.1,1.67,1.89,2.13,2.33,1.87,1.99,3.08,1.87,2.17,1.97,1.74,1.97,1.42,38.41
high-minded,so,adj,2,adj,V-ed,0.85,3.9,4.28,3.05,3.1,2.29,2.1,2.07,2.14,1.95,2.38,1.6,1.3,1.6,0.86,0.92,0.63,1.22,0.75,0.98,37.95
close-up,rh,noun,2,v,adv,0,0,0,0,0,0,0,0,0,0.05,0.04,22.1,0.73,1.19,1.26,2.75,1.85,1.98,2.68,2.94,37.58
nineteenth-century,rh,adj,2,num,noun,0,0,0,0,0,0.12,0.32,0.54,0.97,0.95,0.79,1.05,1.38,2.42,2.97,4.21,4.91,5.61,6.73,4.53,37.52
clear-cut,rh,adj,2,adj,noun,0,0,0,0,0.24,0.29,0.7,0.74,1.46,1.72,1.72,3,3.74,3.86,4.24,4.17,2.9,3.16,2.61,2.1,36.64
cease-fire,rh,adj,2,v,noun,0,0,0,0,0,0,0,0,0,0,0,0,0.04,1.15,7.37,6.05,13.18,5.37,2.25,1.08,36.51
north-east,co,adj,2,noun,noun,0,12.85,3.99,3.3,2.19,1.7,2.21,2.41,1.41,1.22,0.79,1.25,0.24,0.62,0.53,1,0.5,0.04,0.11,0.07,36.43
south-west,rh,adj,2,noun,noun,0.85,9.09,5.59,4.05,2.31,1.64,1.4,2.81,1.84,1.04,0.97,1.48,0.57,0.33,0.45,1.29,0.34,0.2,0.11,0.07,36.42
cold-blooded,rh,adj,2,adj,N-ed,0.85,0.87,2.11,2.55,2.31,1.76,1.89,2.36,1.8,2.08,2.64,2.42,2.44,1.81,1.1,1.67,1.47,1.46,1.5,1.25,36.32
red-faced,rh,adj,2,adj,N-ed,0,0.14,0.73,1.06,1.27,1.47,1.83,1.08,1.89,1.58,2.03,1.91,3.82,3.82,2.89,2.42,2.44,1.82,1.54,2.3,36.04
last-minute,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0.04,0.66,2.64,3.53,4.6,5.17,5.08,4.42,4.19,4.36,34.71
high-tech,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06,13.03,13.53,34.61
light-hearted,rh,adj,2,adj,N-ed,0,0.43,3.63,2.55,2.73,3.05,3.18,3.2,2.14,3.35,2.42,1.72,1.79,0.49,0.61,0.5,0.63,0.71,0.25,0.3,33.69
half-breed,NA,noun,2,det,noun,0,0.43,1.45,1.5,0.3,1.06,1.45,3.59,1.99,4.21,4.1,5.03,2.15,1.23,1.39,1.42,0.76,0.59,0.54,0.41,33.59
dark-eyed,rh,adj,2,adj,N-ed,1.69,1.73,2.18,5.73,1.7,2.23,1.89,1.62,2.09,1.86,1.37,1.05,1.1,1.23,1.1,0.83,0.76,1.38,0.86,0.88,33.28
left-hand,rh,adj,2,adj,noun,0,0.87,0.44,0.75,0.67,1.52,2.32,1.62,2.04,1.95,2.16,3.12,2.19,2.3,2.49,2.63,1.81,1.62,1.54,1.12,33.13
man-of-war,so,noun,3,noun,noun,2.54,0.14,3.27,3.61,2.19,2.81,2.37,2.51,5.68,2.31,1.45,1.68,0.53,0.45,0.86,0.08,0,0.2,0.11,0.34,33.13
best-known,so,adj,2,adj,V-ed,0,0,0.07,0,0.12,0.41,0.43,1.43,1.99,1.81,1.67,1.72,1.71,2.05,3.26,2.46,2.98,4.27,4.01,2.71,33.09
red-haired,rh,adj,2,adj,N-ed,0.85,0.29,0.51,0.31,0.61,1.35,0.81,1.28,1.26,1.54,1.72,1.87,2.8,3.04,3.14,1.88,3.15,2.01,2.58,2.1,33.08
