word	1810s	1820s	1830s	1840s	1850s	1860s	1870s	1880s	1890s	1900s	1910s	1920s	1930s	1940s	1950s	1960s	1970s	1980s	1990s	2000s	total
landscape	18.6250481499824	12.7035949585783	21.6340408874661	33.5859172940244	30.5980293776294	22.2223890041508	23.1652764358229	25.5464114060051	32.2316907128509	18.0562652230947	18.5897858905992	15.8261487425657	17.112002118474	12.4035057564383	12.7929175800803	16.2654304717075	17.7617723074318	22.001915154137	37.6500432062877	34.903317472391	443.675502149718
headquarters	0.846593097726474	0.86615420172125	3.26688536891267	1.2462306973664	1.33562826648382	12.1372942582038	9.31998331022642	12.6009273987231	35.1927345885797	19.4591329471947	23.9200325559132	29.8591870364663	32.1104077757588	47.7658185256216	46.4863661110561	37.7858461727359	36.951204800331	33.0621238492149	21.8670878317888	22.4909943014923	428.570633095517
grandmother	3.3863723909059	8.5171829835923	5.44480894818778	7.47738418419838	23.859177669461	32.2488494783192	14.7611296358499	19.344392451946	15.3877198132135	24.256035487666	19.6470248985954	19.1005243444759	21.583071555605	18.2766889457451	17.3967382378799	20.1858162777088	17.5098322747023	26.4654993775078	44.0562767936694	46.8083249823539	405.712850731583
handkerchief	13.5454895636236	16.3125707990836	17.2781937289159	16.8241144144464	19.4273202397647	27.616742007797	28.121568138371	27.6137510573581	22.766058651095	22.7174063709111	26.166665447905	24.0510684092686	28.0864452823409	25.6284357351572	20.6153385207663	18.559273230538	14.6545119037676	8.13715353995014	11.4166956110321	9.77428173403199	399.313084386124
sunlight	0	1.7323084034425	6.67896564311034	15.8894413914216	18.5166646035257	18.1179899796375	18.9632030358364	19.6397266878536	22.280641622287	22.0838532051885	22.0258126665867	20.2309635403734	25.1599271053097	25.340937257359	22.1227842228777	23.3137836761141	22.2966928965634	27.3345157749782	30.0269831274481	29.7963398189695	391.551534658883
railway	0.846593097726474	3.17589873964458	0.653377073782533	2.43014985986447	7.0424035869147	10.0264604741683	31.192314084515	40.9037916731989	37.1829444066925	45.5253203369254	54.4478089118024	34.264001834274	22.802454129368	19.8373949680784	11.0002794478398	18.8929230863679	15.6622720346858	8.92716844674142	4.93888399474116	2.46893621655479	372.221376403886
highway	16.9318619545295	5.05256617670729	9.07468158031296	11.1537647414293	10.1993431258765	7.32928397234526	9.53547425381547	12.8962616346307	11.3102167712263	10.8156576148361	10.1759254519631	12.6687151264381	22.9650384725364	28.8730614131659	29.9859469392965	30.6123742723931	36.6572747621466	22.9499330422866	32.1743239947268	28.0038244836626	359.365529784325
nowhere	3.3863723909059	7.07359264739021	6.75156309575285	13.7708492058987	16.2096703250537	16.0071561956021	15.7847116178979	16.8340514467317	17.5720964428495	15.4767987626526	16.1669464972747	15.7481874187107	18.6159072927817	17.6195495679206	21.6746246898176	23.0635462842416	23.052512994752	28.7170418618629	31.959589907999	32.7049496083354	358.189718254431
moonlight	5.07955858635885	16.7456478999442	20.3998841925435	24.3638101335131	24.2841502997059	21.5187777428057	29.7377502152889	23.6267388726059	25.435852309539	21.6765690272239	20.572109030592	22.0240739890385	17.0713560326819	17.3731223012364	13.159593561675	9.59243335510955	10.707451391005	10.0331893162492	12.848256189218	11.2624076727773	357.512732119112
football	0	0.288718067240417	0.58077962114003	0.311557674341599	0.485683005994118	0.762245533123907	0.915836510253463	1.08289219832777	5.43667072264955	11.4944645781104	16.3872046239405	23.8171844377036	24.5908819042203	18.6052586346574	33.8564156339068	29.1526561531373	41.8640354385568	38.6317289420934	42.7678722733021	54.7224492929542	345.754535245654
footsteps	13.5454895636236	32.3364235309267	27.5144345515089	28.6633060394271	25.4376474389419	19.1734068716552	16.0540752973842	15.8003816210552	19.2225143407966	14.4359614189654	13.1714359746189	13.1754637314956	11.828010965501	13.8409981454295	14.096654403528	13.6379378570471	12.6389916419314	10.9022057137196	13.957715637312	15.2871119162023	344.72016666107
daylight	2.53977929317942	8.22846491635188	17.4959860868434	18.1949681815494	20.3986862517529	23.2191716243898	27.0441134204258	20.1319504143662	24.7562684692078	16.608143701443	19.5148700225958	19.6852342733884	16.9900638610977	23.6570176016836	17.3967382378799	15.389599600154	13.5207817564848	10.8232042230405	12.4903660446715	11.7697233337133	339.855131314219
hereafter	38.0966893976913	49.9482256325921	40.7997683850871	34.9567710611274	35.5155698133198	28.2030847255846	21.549094358905	24.1189625991185	17.7177215514918	11.2681955903523	10.2199770772962	8.22491966670287	6.30014329777546	3.7374802113771	2.68895719836083	1.83507420706444	1.84756024001655	0.908517142809968	0.787358318002214	0.980810277809438	339.704880752485
sunset	21.1648274431619	11.5487226896167	20.5450790978286	23.8653178545665	21.795024893986	26.5613251157792	26.667004269145	24.9065205615387	27.4746038305326	18.1015190206463	17.5765985079362	16.9176072765358	13.0067474534719	9.93923308959623	7.33351963189317	8.04930277189627	8.06208104734495	10.0726900615888	11.9893198423064	13.0887440521466	338.665788511518
warfare	27.9375722249736	23.0974453792333	22.2148205086061	17.6964759026028	15.2990146888147	18.9975040563189	12.3368565204731	15.1112684039375	15.4848032189751	13.3951240752782	23.4795163025815	13.2144443934231	13.9416074266902	22.7534509571748	16.3781938445614	13.1374630733022	14.486551881948	17.8543368934828	9.23356572929869	10.5859867915295	336.636002273206
railroads	0	1.01051323534146	2.0327286739901	5.79497274275375	7.58879696865809	11.4336829968586	26.5592587973504	27.9583076659169	17.6206381457303	35.207454495157	31.23260236122	37.5383774361842	35.5246789822952	27.3534266019467	20.2486625391717	23.0635462842416	10.4975013637304	4.85859167676635	3.07785524309956	3.17917814186508	331.780774352277
countrymen	47.4092134726826	49.3707894981113	40.7997683850871	31.3427020387649	23.9805984209596	18.7043326974251	16.7005481281514	16.5387172108241	12.8150095605311	10.7251500197329	11.4534225866251	8.03001635706536	6.05626678302286	7.22853315606999	5.45939794818714	5.46351638921457	5.6266607309595	5.17459763948286	2.326285939552	2.16454681999324	327.370073782443
baseball	0	0	0	0	0	0.293171358893811	0.484854623075363	1.52589355218913	1.31062597778159	5.74723228905519	12.7309197212871	14.0720189558281	21.5424254698129	22.0141691571222	34.8342182514925	23.3137836761141	29.5189738348099	40.567265463732	53.4329985807866	60.5734899157484	321.962040827729
network	0.846593097726474	0.433077100860625	0.871169431710045	1.43316530197136	1.69989052097941	3.34215349138944	2.85525500255491	1.91967253339923	3.73771112182157	3.66555760168087	3.87654302931926	3.89806619275017	8.33244758738045	17.0856238234382	19.8412447818443	41.8730569066521	41.3601553730978	48.0724070782492	55.3656053613375	47.6200300398513	308.129425378014
meantime	5.92615168408532	17.4674430680452	14.8098803390708	12.088437764454	15.2990146888147	13.6617853244516	17.6702573743021	16.1941606022653	19.5137645580814	19.8664171251593	19.4267667719295	19.4903309637509	18.5752612069896	14.498137523254	14.7077810395191	11.0938577063441	13.6887417783044	13.58825639681	12.740889145854	11.4653339371517	301.772668998637
birthday	3.3863723909059	1.58794936982229	2.54091084248763	1.05929609276144	4.31043667819779	6.09796426499126	8.72738321535653	6.84190979852545	14.0770938354319	10.3178658417684	12.2904034679554	19.1395050064034	16.9494177753056	17.2088374567803	19.8412447818443	19.6019290300065	24.6901232074939	27.6900224830342	36.3258496714658	48.4317350973488	301.116250307887
bathroom	0	0	0	0.0623115348683198	0	0.117268543557524	0.21549094358905	0.393778981210098	0.194166811523198	2.53421266289048	4.27300765731782	8.9655522433254	15.892619544711	23.6159463905696	24.2820983367129	31.4882051439466	40.7722952967289	34.6026529174579	48.637270643864	53.8092811032695	289.856158755542
overhead	0	0.577436134480834	4.50104206383523	7.47738418419838	8.62087335639559	9.85055765883203	11.4210200102197	13.5853748517484	13.5431351037431	12.3995405291427	14.8894493626126	17.5412978673758	19.5914133517921	19.5909677013942	18.5375079583966	20.8948222213473	17.8037623128868	21.646408446081	26.8059718265299	26.9553721177283	286.233337058741
policeman	0	0.433077100860625	0.0725974526425037	0.685426883551518	4.61398855694412	3.92849620917706	9.37385604612368	10.8289219832777	19.6593896667238	21.2240310517078	18.3695277639333	26.4288887868462	26.2980175074885	20.9052464570433	19.6375359031806	24.5232644034974	28.4272336929819	13.4697541607913	11.0588054664856	9.0978608527841	269.035919946041
policeman	0	0.433077100860625	0.0725974526425037	0.685426883551518	4.61398855694412	3.92849620917706	9.37385604612368	10.8289219832777	19.6593896667238	21.2240310517078	18.3695277639333	26.4288887868462	26.2980175074885	20.9052464570433	19.6375359031806	24.5232644034974	28.4272336929819	13.4697541607913	11.0588054664856	9.0978608527841	269.035919946041
meanwhile	5.92615168408532	8.08410588273167	12.9949440230082	16.8241144144464	17.5452985915375	17.2971101747348	17.0776572794322	12.1087036722105	17.1352211169223	13.4856316703815	12.8630745972866	12.9805604218581	11.9093031370852	14.2517102565698	15.4818747784411	13.3877004651746	12.848941669206	12.7982414900187	9.30514375820799	9.60517651372001	263.910665597058
spokesman	0	0.721795168101042	0.653377073782533	1.12160762762976	0.971366011988235	1.93493096869915	1.93941849230145	2.26422914195806	2.47562684692078	2.66997405554533	3.61223327732022	7.64020973779034	12.1125335660457	22.1373827904643	28.9266607702453	39.3706829879279	49.2122863931681	41.3967811158629	18.001874270687	20.2926264374366	257.455596733875
